target,stage,rep,fold,chosen,auc_sel,fixed,auc_fix,n_pos,n_neg
abnormal,W,0,0,TAR,0.7791899678020675,TAR,0.7791899678020675,1124,945
abnormal,N1,0,0,log_delta,0.8080864240514593,log_delta,0.8080864240514593,1048,877
abnormal,N2,0,0,log_delta,0.708371200778315,DAR,0.7216647989026179,1021,749
abnormal,N3,0,0,DAR,0.7154158976609888,DAR,0.7154158976609888,719,263
abnormal,REM,0,0,log_delta,0.766600563615489,TAR,0.745777406672929,871,825
abnormal,W,0,1,TAR,0.780807839051655,TAR,0.780807839051655,1095,973
abnormal,N1,0,1,log_delta,0.7992351647477667,log_delta,0.7992351647477667,1007,899
abnormal,N2,0,1,log_delta,0.7070056008079855,DAR,0.7112330959220347,985,774
abnormal,N3,0,1,DAR,0.7029981293290863,DAR,0.7029981293290863,694,285
abnormal,REM,0,1,log_delta,0.7422895878355434,TAR,0.730573540715608,829,849
abnormal,W,0,2,TAR,0.7630589971837792,TAR,0.7630589971837792,1113,952
abnormal,N1,0,2,log_delta,0.7871498526948375,log_delta,0.7871498526948375,1037,871
abnormal,N2,0,2,log_delta,0.6936258927246911,DAR,0.7002312607285905,1008,749
abnormal,N3,0,2,DAR,0.6770125771350511,DAR,0.6770125771350511,710,299
abnormal,REM,0,2,log_delta,0.7287246454344709,TAR,0.7282778814851913,872,806
abnormal,W,0,3,TAR,0.7615052058737548,TAR,0.7615052058737548,1098,972
abnormal,N1,0,3,log_delta,0.8043108580157474,log_delta,0.8043108580157474,1006,885
abnormal,N2,0,3,DAR,0.7145303359407273,DAR,0.7145303359407273,1010,743
abnormal,N3,0,3,DAR,0.6846685113204648,DAR,0.6846685113204648,706,258
abnormal,REM,0,3,log_delta,0.75442196523606,TAR,0.7342430756768545,858,823
abnormal,W,0,4,TAR,0.7986699828203776,TAR,0.7986699828203776,1073,996
abnormal,N1,0,4,log_delta,0.7975697120234428,log_delta,0.7975697120234428,987,919
abnormal,N2,0,4,DAR,0.7028641719641908,DAR,0.7028641719641908,967,781
abnormal,N3,0,4,DAR,0.7109115545046361,DAR,0.7109115545046361,666,284
abnormal,REM,0,4,log_delta,0.7548659718538041,TAR,0.7273258832052665,823,852
abnormal,W,1,0,TAR,0.7809437464922505,TAR,0.7809437464922505,1103,966
abnormal,N1,1,0,log_delta,0.8060136427881965,log_delta,0.8060136427881965,1036,896
abnormal,N2,1,0,DAR,0.7131556624148465,DAR,0.7131556624148465,1014,758
abnormal,N3,1,0,DAR,0.7060637204522097,DAR,0.7060637204522097,695,294
abnormal,REM,1,0,log_delta,0.7612100839403091,TAR,0.7474670789660686,866,832
abnormal,W,1,1,TAR,0.7758007117437722,TAR,0.7758007117437722,1124,941
abnormal,N1,1,1,log_delta,0.8059855406846853,log_delta,0.8059855406846853,1051,859
abnormal,N2,1,1,DAR,0.7136754637486102,DAR,0.7136754637486102,1012,743
abnormal,N3,1,1,DAR,0.6713984651477196,DAR,0.6713984651477196,707,249
abnormal,REM,1,1,log_delta,0.7498494079463094,TAR,0.7247548581409101,890,817
abnormal,W,1,2,TAR,0.7850052461195518,TAR,0.7850052461195518,1067,1004
abnormal,N1,1,2,log_delta,0.7945482431678751,log_delta,0.7945482431678751,978,924
abnormal,N2,1,2,log_delta,0.7041775526526259,DAR,0.7115889096241003,968,775
abnormal,N3,1,2,DAR,0.7262183340489481,DAR,0.7262183340489481,680,274
abnormal,REM,1,2,log_delta,0.7436788245600064,TAR,0.739421096940807,812,866
abnormal,W,1,3,TAR,0.7647053856020507,TAR,0.7647053856020507,1109,961
abnormal,N1,1,3,log_delta,0.7958287175884646,log_delta,0.7958287175884646,1014,876
abnormal,N2,1,3,DAR,0.7058774910708963,DAR,0.7058774910708963,996,741
abnormal,N3,1,3,DAR,0.697031408308004,DAR,0.697031408308004,705,280
abnormal,REM,1,3,log_delta,0.7450166088691653,TAR,0.7174023553333897,841,814
abnormal,W,1,4,TAR,0.7771946169772256,TAR,0.7771946169772256,1100,966
abnormal,N1,1,4,log_delta,0.7952497071144561,log_delta,0.7952497071144561,1006,896
abnormal,N2,1,4,log_delta,0.701026829396534,DAR,0.708472528754942,1001,779
abnormal,N3,1,4,DAR,0.6902039315842426,DAR,0.6902039315842426,708,292
abnormal,REM,1,4,log_delta,0.7490618867837922,TAR,0.7380713310306048,844,826
abnormal,W,2,0,TAR,0.7773924933987175,TAR,0.7773924933987175,1100,964
abnormal,N1,2,0,log_delta,0.8090126933047287,log_delta,0.8090126933047287,1017,880
abnormal,N2,2,0,DAR,0.6915253576579736,DAR,0.6915253576579736,1006,765
abnormal,N3,2,0,DAR,0.6827344882709394,DAR,0.6827344882709394,727,296
abnormal,REM,2,0,log_delta,0.7635121011479709,TAR,0.7182669709843622,851,832
abnormal,W,2,1,TAR,0.780129905413846,TAR,0.780129905413846,1083,989
abnormal,N1,2,1,log_delta,0.8012565865876757,log_delta,0.8012565865876757,1003,898
abnormal,N2,2,1,DAR,0.7188591945263014,DAR,0.7188591945263014,975,757
abnormal,N3,2,1,DAR,0.6917499432205314,DAR,0.6917499432205314,680,259
abnormal,REM,2,1,log_delta,0.7628228750907112,TAR,0.7366853002539911,848,832
abnormal,W,2,2,TAR,0.7849052534856027,TAR,0.7849052534856027,1095,974
abnormal,N1,2,2,log_delta,0.7934544494787314,log_delta,0.7934544494787314,1016,895
abnormal,N2,2,2,DAR,0.7066212256005023,DAR,0.7066212256005023,985,776
